,name,price,brend,url,voltage,country,capacity
0,Аккумулятор 12v 7ah акб agm 1207,,SKAT,https://www.wildberries.ru/catalog/149737382/detail.aspx,12.0,Китай,7.0
1,"Аккумулятор SF 1212, 12Ач, аккумуляторная батарея 12В",,Security Force,https://www.wildberries.ru/catalog/45502816/detail.aspx,12.0,Китай,12.0
2,"Аккумулятор SF 1207, 7Ач, аккумуляторная батарея 12В",,Security Force,https://www.wildberries.ru/catalog/40724205/detail.aspx,12.0,Китай,7.0
3,Аккумулятор для ибп 12v 7 Ah F1/T1 осветительных приборов,,Thomas,https://www.wildberries.ru/catalog/166716193/detail.aspx,12.0,Китай,7.0
4,"Аккумулятор ибп 12v 7.5 Ah F2/T2 детской машинки, мотоцикла",,NPP,https://www.wildberries.ru/catalog/166716200/detail.aspx,12.0,Китай,7.5
5,"Аккумулятор для ибп 12v 12 Ah F2/T2 эхолота, фонаря, весов",,Thomas,https://www.wildberries.ru/catalog/194125715/detail.aspx,12.0,Китай,12.0
6,Аккумулятор для ибп 12v 7 Ah F1/T1 осветительных приборов,,Thomas,https://www.wildberries.ru/catalog/194125712/detail.aspx,12.0,Китай,7.0
7,Аккумулятор для ибп 12v 9 Ah F2/T2 на бесперебойник для дома,,NPP,https://www.wildberries.ru/catalog/194125708/detail.aspx,12.0,Китай,9.0
8,Аккумулятор Prometheus Energy PE 1212L 12Ah 12V для ИБП,,Prometheus Energy,https://www.wildberries.ru/catalog/223663995/detail.aspx,12.0,Китай,12.0
9,Аккумулятор Prometheus Energy PE 1218 18Ah 12V для ИБП,,Prometheus Energy,https://www.wildberries.ru/catalog/223664003/detail.aspx,12.0,Китай,18.0
10,Аккумулятор Prometheus Energy PE 1209L 9.2Ah 12V для ИБП,,Prometheus Energy,https://www.wildberries.ru/catalog/223664011/detail.aspx,12.0,Китай,9.2
11,"Аккумулятор для ибп 12v 7,2Ah F2/T2 детской машины, эхолота",,ZUBR,https://www.wildberries.ru/catalog/196431776/detail.aspx,12.0,Китай,7.2
12,"Аккумулятор для ибп 12v 12Ah F2/T2 на бесперебойник, эхолот",,NPP,https://www.wildberries.ru/catalog/194125704/detail.aspx,12.0,Китай,12.0
13,Аккумулятор 12v 18 Ah M5/T3 для охранных пожарных систем,,Thomas,https://www.wildberries.ru/catalog/194125717/detail.aspx,12.0,Китай,18.0
14,"Аккумулятор для ибп 12v 7 Ah F2/T2 видеонаблюдения, кассы",,ATLANT,https://www.wildberries.ru/catalog/168341676/detail.aspx,12.0,Китай,7.0
15,"Аккумулятор для ибп 12v 9 Ah F2/T2 весов, фонаря, насоса",,ZUBR,https://www.wildberries.ru/catalog/194125738/detail.aspx,12.0,Китай,9.0
16,Аккумулятор 12v 7 Ah F1/T1 для пожарной сигнализации,,Thomas,https://www.wildberries.ru/catalog/194125716/detail.aspx,12.0,Китай,7.0
17,"Аккумулятор для ибп 12v 5Ah F2/T2 фонариков, весов, эхолотов",,NPP,https://www.wildberries.ru/catalog/170658701/detail.aspx,12.0,Китай,5.0
18,Аккумулятор для ибп 12v 7 Ah F1/T1 радиоуправляемой машинки,,NPP,https://www.wildberries.ru/catalog/194125687/detail.aspx,12.0,Китай,7.0
19,"Аккумулятор для ибп 12v 12 Ah F2/T2 эхолота, фонаря, весов",,Thomas,https://www.wildberries.ru/catalog/170875218/detail.aspx,12.0,Китай,12.0
20,Аккумулятор для ибп 12v 5 Ah F2/T2 радиоуправляемой машинки,,ZUBR,https://www.wildberries.ru/catalog/166716199/detail.aspx,12.0,Китай,5.0
21,"Аккумулятор для ибп 12v 7.2 Ah T2 детского мотоцикла, машины",,Thomas,https://www.wildberries.ru/catalog/214740442/detail.aspx,12.0,Китай,7.2
22,"Аккумулятор для ибп 12v 7.2 Ah F2/T2 инкубатора, эхолота",,ZUBR,https://www.wildberries.ru/catalog/166716187/detail.aspx,12.0,Китай,7.2
23,Аккумулятор для ибп 12v 5 Ah F2/T2 радиоуправляемой машинки,,ZUBR,https://www.wildberries.ru/catalog/194125735/detail.aspx,12.0,Китай,5.0
24,"Аккумулятор 4v 4.5Ah F1/T1 для кассы, эхолота, фонаря, весов",,NPP,https://www.wildberries.ru/catalog/194125706/detail.aspx,4.0,Китай,4.5
25,"Аккумулятор ибп 12v 7.5 Ah F2/T2 детской машинки, мотоцикла",,NPP,https://www.wildberries.ru/catalog/194125700/detail.aspx,12.0,Китай,7.5
26,"Аккумулятор для ибп 12v 12Ah F2/T2 насосов, электропастухов",,ZUBR,https://www.wildberries.ru/catalog/194125736/detail.aspx,12.0,Китай,12.0
27,Аккумулятор LA-1270 12V 7Ah,,GoPower,https://www.wildberries.ru/catalog/90178459/detail.aspx,12.0,Китай,7.0
28,Аккумулятор 12v Yellow VL 12-12,,YELLOW,https://www.wildberries.ru/catalog/161320890/detail.aspx,12.0,Китай,12.0
29,Аккумулятор Yellow VL 12-7.5 для детского электромобиля 12v,,YELLOW,https://www.wildberries.ru/catalog/161312115/detail.aspx,12.0,Китай,7.5
30,Аккумуляторная батарея AGM 12V 7Ah 1270 для ИБП и др,,Neata Battery,https://www.wildberries.ru/catalog/188514941/detail.aspx,12.0,Китай,7.0
